Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
58ca83f5ce593d315f7efa2a,THE GATEHOUSE (ゲートハウス 名古屋),35.17240152361003,136.88293680583902,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
4d8b45a94757721e05f5c769,La Pêche,35.15783952596791,136.90687407875208,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
4d2ec79eb97cb1f7fa359248,ビストロ横丁,35.16872568829899,136.8891520251339,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
4c0b876f7e3fc928b267f582,ガーデンレストラン 徳川園,35.18457866114166,136.9323715737922,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
4ba98533f964a5202f2c3ae3,Innover (イノーヴェ),35.17512575553364,136.92290614315135,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
4ec7752c93ad41338ccd0ac5,ビストロ ダイア,35.169817284959635,136.92436304580872,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
52e783cf498ec421fe53cfb6,WINE & FOOD ワイン渡辺。,35.169358890851484,136.91257497327283,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
59b1e5d86a8d860b72cf886b,BOUL'ANGE,35.171385,136.882461,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]"
57e00b74498e42f046425207,La Bobine Galette Cafe (ラ ボビン ガレットカフェ),35.169579317744095,136.88676091451117,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
4c99e80bb8e9224ba0d8483d,BREIZH Cafe Creperie 名古屋タワーズプラザ店,35.171268728780646,136.88409849709925,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
4c73a70e6b91b7138fc4fb20,Contemporary Dining Crown & Teppanyaki (クラウン),35.18533654610665,136.89595910847586,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]"
